asset_id,report_date,asset_type,currency,Term Months,interest_rate,amount
48,2024-Q1,cash,eur,108,8.52,0.263918
49,2024-Q1,security,eur,82,21.04,0.158411
50,2024-Q1,interbank,uzs,94,15.66,0.200592
51,2024-Q1,cash,usd,92,7.68,0.232355
52,2024-Q1,security,uzs,24,23.29,0.155571
53,2024-Q1,security,uzs,44,12.03,0.224602
54,2024-Q1,cash,eur,57,0.19,0.253715
55,2024-Q1,cash,usd,60,0.15,0.254508
56,2024-Q1,cash,eur,6,22.58,0.099424
57,2024-Q1,cash,usd,66,6.75,0.222406
58,2024-Q1,security,eur,19,19.49,0.170032
59,2024-Q1,security,eur,90,1.05,0.302448
60,2024-Q1,cash,uzs,82,3.53,0.227162
61,2024-Q1,security,usd,111,20.56,0.196554
62,2024-Q1,cash,usd,90,23.86,0.126507
63,2024-Q1,interbank,uzs,44,1.25,0.245929
64,2024-Q1,interbank,uzs,117,4.02,0.260542
65,2024-Q1,interbank,eur,50,17.35,0.18174
66,2024-Q1,cash,eur,40,12.71,0.161938
67,2024-Q1,loan,eur,109,9.74,0.27091
68,2024-Q1,loan,usd,45,4.67,0.284029
69,2024-Q1,security,usd,10,22.69,0.13762
70,2024-Q1,security,eur,57,4.13,0.27453
71,2024-Q1,security,uzs,96,6.37,0.276784
72,2024-Q1,loan,usd,23,7.78,0.260366
73,2024-Q1,interbank,eur,56,3.33,0.239406
74,2024-Q1,loan,uzs,16,12.87,0.219366
75,2024-Q1,interbank,uzs,83,8.19,0.241183
76,2024-Q1,cash,usd,58,14.59,0.150063
77,2024-Q1,cash,eur,40,8.83,0.19438
78,2024-Q1,loan,eur,28,2.79,0.284633
79,2024-Q1,loan,uzs,68,20.94,0.219443
80,2024-Q1,security,eur,81,12.23,0.217478
81,2024-Q1,interbank,usd,113,7.72,0.245788
82,2024-Q1,security,usd,53,0.39,0.287512
83,2024-Q1,loan,usd,20,14.35,0.233307
84,2024-Q1,loan,uzs,100,18.78,0.239526
85,2024-Q1,loan,usd,76,15.6,0.230183
86,2024-Q1,cash,uzs,85,18.91,0.158871
87,2024-Q1,cash,usd,12,3.72,0.215368
88,2024-Q1,cash,uzs,38,23.32,0.121512
89,2024-Q1,interbank,uzs,93,5.07,0.27009
90,2024-Q1,loan,uzs,100,6.4,0.284913
91,2024-Q1,interbank,eur,53,12.3,0.221209
92,2024-Q1,interbank,usd,97,0.12,0.274752
93,2024-Q1,interbank,eur,102,10.62,0.233534
94,2024-Q1,interbank,eur,47,4.7,0.231875
95,2024-Q1,loan,uzs,108,17.98,0.238097
96,2024-Q1,interbank,uzs,35,18.19,0.157044
97,2024-Q1,cash,usd,29,14.78,0.173076
98,2024-Q1,security,eur,82,10.12,0.233146
99,2024-Q1,security,usd,77,7.45,0.23893
100,2024-Q1,loan,usd,17,19.86,0.176803
101,2024-Q1,interbank,eur,100,12.17,0.210278
102,2024-Q1,loan,usd,24,11.92,0.239617
103,2024-Q1,interbank,eur,97,2.72,0.268826
104,2024-Q1,interbank,usd,1,5.24,0.218604
105,2024-Q1,security,usd,96,8.65,0.264203
106,2024-Q1,security,eur,95,16.77,0.207995
107,2024-Q1,loan,usd,94,20.29,0.212657
108,2024-Q1,interbank,eur,80,23.83,0.138035
109,2024-Q1,loan,uzs,57,10.26,0.265243
110,2024-Q1,interbank,eur,85,10.88,0.207338
111,2024-Q1,interbank,uzs,34,18.39,0.135883
112,2024-Q1,interbank,usd,94,7.71,0.234337
113,2024-Q1,cash,usd,67,12.97,0.196527
114,2024-Q1,interbank,eur,56,16.25,0.170403
115,2024-Q1,security,usd,61,5.67,0.258924
116,2024-Q1,loan,usd,69,6.71,0.268867
117,2024-Q1,security,uzs,5,8.55,0.204602
118,2024-Q1,interbank,uzs,17,13.86,0.165682
119,2024-Q1,security,usd,30,6.49,0.248376
120,2024-Q1,security,uzs,14,5.0,0.223908
121,2024-Q1,interbank,usd,53,3.59,0.263992
122,2024-Q1,loan,eur,81,19.42,0.19993
123,2024-Q1,cash,uzs,79,21.26,0.132124
124,2024-Q1,cash,eur,57,21.71,0.116338
125,2024-Q1,loan,usd,103,19.72,0.220558
126,2024-Q1,cash,eur,68,3.29,0.250269
127,2024-Q1,interbank,usd,10,2.35,0.229878
128,2024-Q1,cash,eur,92,11.98,0.191296
129,2024-Q1,cash,uzs,69,12.51,0.190428
130,2024-Q1,security,eur,77,17.59,0.193952
131,2024-Q1,cash,usd,68,5.35,0.222095
132,2024-Q1,cash,eur,67,22.34,0.146138
133,2024-Q1,interbank,usd,11,7.44,0.21482
134,2024-Q1,security,usd,68,13.87,0.224035
135,2024-Q1,loan,usd,96,20.74,0.221607
136,2024-Q1,security,usd,37,12.56,0.207249
137,2024-Q1,security,usd,73,18.09,0.185356
138,2024-Q1,security,eur,4,17.98,0.177439
139,2024-Q1,cash,eur,42,18.96,0.136322
140,2024-Q1,interbank,uzs,53,19.47,0.169188
141,2024-Q1,security,eur,118,9.42,0.284501
142,2024-Q1,loan,usd,26,8.73,0.267366
143,2024-Q1,interbank,uzs,34,19.28,0.154235
144,2024-Q1,loan,usd,50,13.91,0.236948
145,2024-Q1,interbank,uzs,120,14.59,0.206158
146,2024-Q1,security,usd,103,9.89,0.24979
147,2024-Q1,interbank,usd,5,4.84,0.213586
148,2024-Q1,security,eur,29,10.97,0.222939
149,2024-Q1,loan,eur,99,23.27,0.202999
150,2024-Q1,security,eur,7,6.98,0.232317
151,2024-Q1,interbank,eur,103,6.53,0.249616
152,2024-Q1,interbank,usd,34,3.14,0.232065
153,2024-Q1,cash,usd,111,11.55,0.21436
154,2024-Q1,loan,eur,36,6.92,0.268861
155,2024-Q1,interbank,uzs,53,16.49,0.169875
156,2024-Q1,interbank,usd,80,3.24,0.264528
157,2024-Q1,loan,uzs,16,5.94,0.256664
158,2024-Q1,security,uzs,67,1.48,0.296188
159,2024-Q1,loan,eur,61,1.0,0.325927
160,2024-Q1,loan,usd,95,19.54,0.21898
161,2024-Q1,security,usd,120,21.74,0.20474
162,2024-Q1,loan,uzs,80,18.33,0.23011
163,2024-Q1,interbank,uzs,50,20.76,0.151989
164,2024-Q1,loan,usd,49,2.08,0.288067
165,2024-Q1,loan,eur,51,21.56,0.195296
166,2024-Q1,cash,usd,98,11.18,0.211045
167,2024-Q1,interbank,usd,39,18.45,0.144219
168,2024-Q1,security,eur,21,14.78,0.19175
169,2024-Q1,cash,uzs,41,8.4,0.204622
170,2024-Q1,cash,uzs,3,6.36,0.197799
171,2024-Q1,loan,usd,13,2.84,0.262685
172,2024-Q1,security,usd,11,9.9,0.199193
173,2024-Q1,interbank,eur,93,11.86,0.232481
174,2024-Q1,loan,usd,87,23.59,0.178436
175,2024-Q1,interbank,usd,84,0.89,0.266441
176,2024-Q1,loan,uzs,56,14.16,0.245297
177,2024-Q1,cash,eur,87,12.6,0.205729
178,2024-Q1,security,eur,20,0.55,0.258796
179,2024-Q1,interbank,usd,109,7.91,0.251527
180,2024-Q1,cash,eur,61,10.15,0.205675
181,2024-Q1,interbank,eur,113,11.86,0.224986
182,2024-Q1,interbank,usd,19,5.6,0.215323
183,2024-Q1,cash,uzs,60,0.82,0.261033
184,2024-Q1,interbank,uzs,84,7.05,0.240191
185,2024-Q1,security,usd,60,20.07,0.158153
186,2024-Q1,security,eur,54,19.39,0.186501
187,2024-Q1,interbank,usd,20,4.34,0.234074
188,2024-Q1,security,eur,46,15.51,0.214068
189,2024-Q1,loan,uzs,29,22.17,0.189132
190,2024-Q1,interbank,usd,37,4.13,0.24121
191,2024-Q1,interbank,usd,83,3.09,0.253419
192,2024-Q1,interbank,eur,76,0.53,0.290626
193,2024-Q1,security,usd,73,4.14,0.273473
194,2024-Q1,loan,eur,44,19.53,0.211188
195,2024-Q1,loan,uzs,116,19.54,0.243727
196,2024-Q1,interbank,eur,11,12.97,0.184621
197,2024-Q1,loan,usd,42,8.01,0.258506
198,2024-Q1,interbank,eur,15,19.36,0.161319
199,2024-Q1,loan,usd,41,4.68,0.281223
200,2024-Q1,security,eur,116,3.36,0.30148
201,2024-Q1,cash,eur,44,2.14,0.237231
202,2024-Q1,security,eur,110,20.43,0.203438
203,2024-Q1,security,eur,60,17.16,0.211355
204,2024-Q1,cash,eur,84,14.99,0.181149
205,2024-Q1,loan,usd,55,17.46,0.213791
206,2024-Q1,security,usd,32,3.44,0.266612
207,2024-Q1,security,uzs,92,9.23,0.245167
208,2024-Q1,security,usd,117,19.54,0.214143
209,2024-Q1,cash,usd,32,22.0,0.11428
210,2024-Q1,cash,usd,94,12.31,0.204237
211,2024-Q1,loan,uzs,32,2.93,0.293937
212,2024-Q1,cash,eur,87,23.48,0.126627
213,2024-Q1,loan,usd,95,9.48,0.269535
214,2024-Q1,loan,eur,54,7.66,0.285406
215,2024-Q1,interbank,eur,89,2.88,0.28491
216,2024-Q1,security,usd,33,0.3,0.306649
217,2024-Q1,loan,eur,10,14.49,0.209524
218,2024-Q1,loan,usd,12,14.7,0.207184
219,2024-Q1,interbank,eur,54,5.62,0.224914
220,2024-Q1,security,usd,109,3.89,0.290319
221,2024-Q1,security,uzs,16,12.67,0.187083
222,2024-Q1,security,uzs,55,10.45,0.22832
223,2024-Q1,loan,usd,85,7.29,0.286958
224,2024-Q1,cash,uzs,25,5.24,0.18462
225,2024-Q1,security,usd,87,20.62,0.194513
226,2024-Q1,cash,uzs,37,23.61,0.1223
227,2024-Q1,interbank,usd,98,8.53,0.244377
228,2024-Q1,loan,uzs,70,16.76,0.237347
229,2024-Q1,security,eur,66,20.77,0.173948
230,2024-Q1,cash,usd,22,0.65,0.208834
231,2024-Q1,loan,eur,56,21.79,0.207414
232,2024-Q1,loan,eur,103,11.98,0.272075
233,2024-Q1,interbank,usd,3,13.36,0.170418
234,2024-Q1,security,usd,92,12.96,0.235871
235,2024-Q1,interbank,usd,60,5.83,0.226045
236,2024-Q1,cash,usd,87,18.77,0.161964
237,2024-Q1,interbank,usd,80,17.58,0.187131
238,2024-Q1,security,usd,52,2.3,0.278388
239,2024-Q1,cash,usd,38,13.51,0.159725
240,2024-Q1,loan,uzs,76,22.97,0.20249
241,2024-Q1,cash,uzs,17,20.91,0.119352
242,2024-Q1,loan,usd,71,15.02,0.241376
243,2024-Q1,loan,eur,12,4.77,0.266152
244,2024-Q1,security,usd,78,8.33,0.253865
245,2024-Q1,loan,eur,76,3.61,0.298317
246,2024-Q1,cash,uzs,11,19.73,0.120494
247,2024-Q1,interbank,uzs,91,18.69,0.16657
248,2024-Q1,loan,uzs,50,21.85,0.192657
249,2024-Q1,interbank,usd,95,1.52,0.274113
250,2024-Q1,loan,uzs,5,23.15,0.183324
251,2024-Q1,interbank,usd,22,23.19,0.116047
252,2024-Q1,cash,usd,60,16.19,0.145629
253,2024-Q1,loan,uzs,23,21.16,0.176464
254,2024-Q1,security,eur,40,10.52,0.229063
255,2024-Q1,interbank,uzs,80,7.52,0.234951
256,2024-Q1,cash,eur,18,3.7,0.188926
257,2024-Q1,interbank,uzs,82,0.76,0.260149
258,2024-Q1,security,uzs,13,1.01,0.277366
259,2024-Q1,loan,usd,22,16.6,0.229806
260,2024-Q1,interbank,uzs,71,8.08,0.236804
261,2024-Q1,security,usd,96,1.3,0.298502
262,2024-Q1,cash,uzs,21,2.69,0.217353
263,2024-Q1,interbank,uzs,36,15.97,0.164328
264,2024-Q1,cash,uzs,112,22.53,0.163907
265,2024-Q1,interbank,eur,119,9.79,0.260452
266,2024-Q1,loan,usd,70,18.66,0.210062
267,2024-Q1,loan,eur,54,23.37,0.191354
268,2024-Q1,interbank,uzs,42,17.0,0.165056
269,2024-Q1,loan,eur,74,17.35,0.233357
270,2024-Q1,security,usd,71,14.78,0.21372
271,2024-Q1,interbank,eur,36,23.46,0.124556
272,2024-Q1,loan,usd,3,7.2,0.25229
273,2024-Q1,loan,uzs,19,18.79,0.179472
274,2024-Q1,loan,eur,116,9.96,0.284949
275,2024-Q1,security,usd,51,3.73,0.264648
276,2024-Q1,interbank,eur,58,17.74,0.180208
277,2024-Q1,security,eur,57,19.91,0.185852
278,2024-Q1,loan,eur,94,20.73,0.218215
279,2024-Q1,interbank,usd,8,22.13,0.137524
280,2024-Q1,cash,usd,10,17.88,0.137682
281,2024-Q1,loan,usd,34,12.66,0.243771
282,2024-Q1,loan,eur,59,22.53,0.181093
283,2024-Q1,loan,uzs,81,5.03,0.303478
284,2024-Q1,security,uzs,59,1.86,0.298011
285,2024-Q1,loan,eur,53,10.36,0.236662
286,2024-Q1,interbank,eur,113,13.97,0.204072
287,2024-Q1,interbank,usd,20,16.32,0.184334
288,2024-Q1,interbank,uzs,69,19.57,0.173093
289,2024-Q1,loan,uzs,66,0.64,0.305969
290,2024-Q1,security,usd,57,19.25,0.173247
291,2024-Q1,interbank,eur,97,14.4,0.201244
292,2024-Q1,interbank,usd,33,22.87,0.111732
293,2024-Q1,cash,usd,115,8.35,0.230267
294,2024-Q1,loan,eur,40,14.81,0.235484
295,2024-Q1,cash,usd,66,18.4,0.166355
296,2024-Q1,security,eur,63,12.39,0.205932
297,2024-Q1,security,usd,102,3.74,0.296237
298,2024-Q1,cash,eur,53,1.2,0.238063
299,2024-Q1,security,eur,35,2.67,0.274208
300,2024-Q1,cash,eur,3,11.88,0.130925
301,2024-Q1,interbank,usd,44,15.35,0.179506
302,2024-Q1,security,uzs,100,13.69,0.223799
303,2024-Q1,security,usd,2,17.11,0.161929
304,2024-Q1,cash,eur,108,0.94,0.283265
305,2024-Q1,cash,eur,66,3.27,0.25048
306,2024-Q1,cash,usd,17,18.27,0.132104
307,2024-Q1,cash,uzs,37,18.75,0.113807
308,2024-Q1,security,usd,67,16.86,0.196764
309,2024-Q1,cash,uzs,38,17.89,0.161576
310,2024-Q1,cash,uzs,14,23.12,0.100483
311,2024-Q1,cash,eur,80,22.66,0.121615
312,2024-Q1,security,eur,81,15.47,0.219503
313,2024-Q1,interbank,uzs,15,7.66,0.207021
314,2024-Q1,cash,usd,34,0.34,0.221175
315,2024-Q1,security,usd,30,15.16,0.189624
316,2024-Q1,interbank,eur,80,10.35,0.207244
317,2024-Q1,cash,usd,88,3.53,0.267537
318,2024-Q1,loan,eur,88,5.17,0.289133
319,2024-Q1,interbank,eur,113,22.48,0.166808
320,2024-Q1,loan,eur,93,1.59,0.315921
321,2024-Q1,cash,usd,39,18.9,0.144208
322,2024-Q1,security,usd,13,21.65,0.132915
323,2024-Q1,interbank,usd,74,16.52,0.186094
324,2024-Q1,loan,eur,110,1.47,0.329494
325,2024-Q1,loan,uzs,118,20.3,0.235786
326,2024-Q1,cash,usd,28,15.68,0.150412
327,2024-Q1,cash,uzs,29,6.65,0.185694
328,2024-Q1,security,uzs,5,15.11,0.184836
329,2024-Q1,interbank,uzs,17,3.28,0.238294
330,2024-Q1,loan,uzs,67,16.98,0.226574
331,2024-Q1,loan,eur,66,21.67,0.19949
332,2024-Q1,interbank,uzs,45,12.52,0.211316
333,2024-Q1,loan,eur,38,22.85,0.190716
334,2024-Q1,interbank,uzs,100,10.51,0.223281
335,2024-Q1,interbank,usd,56,20.58,0.15388
336,2024-Q1,loan,eur,97,18.57,0.235253
337,2024-Q1,interbank,eur,116,2.12,0.270286
338,2024-Q1,loan,uzs,39,21.9,0.187188
339,2024-Q1,security,usd,25,21.85,0.163568
340,2024-Q1,interbank,eur,115,8.43,0.236587
341,2024-Q1,security,eur,77,19.04,0.206354
342,2024-Q1,loan,uzs,35,5.39,0.282842
343,2024-Q1,interbank,usd,75,0.73,0.249174
344,2024-Q1,loan,eur,62,4.99,0.293133
345,2024-Q1,cash,uzs,109,11.62,0.22325
346,2024-Q1,cash,usd,31,1.39,0.226397
347,2024-Q1,cash,uzs,119,3.84,0.238043
348,2024-Q1,security,uzs,113,22.81,0.199759
349,2024-Q1,loan,usd,22,11.85,0.227349
350,2024-Q1,cash,uzs,20,19.75,0.129525
351,2024-Q1,interbank,usd,64,4.96,0.251767
352,2024-Q1,security,uzs,6,2.12,0.24277
353,2024-Q1,loan,usd,36,18.73,0.205326
354,2024-Q1,cash,uzs,53,8.37,0.187849
355,2024-Q1,security,usd,117,11.04,0.243429
356,2024-Q1,security,eur,120,23.81,0.199137
357,2024-Q1,cash,eur,19,7.6,0.188981
358,2024-Q1,interbank,uzs,108,11.36,0.201292
359,2024-Q1,security,usd,11,15.24,0.195248
360,2024-Q1,cash,usd,90,2.14,0.235574
361,2024-Q1,security,usd,102,17.19,0.218249
362,2024-Q1,security,eur,107,10.84,0.249652
363,2024-Q1,loan,usd,27,4.2,0.2871
364,2024-Q1,loan,usd,108,10.33,0.28546
365,2024-Q1,loan,usd,14,11.06,0.236828
366,2024-Q1,security,eur,63,15.38,0.216747
367,2024-Q1,cash,eur,57,22.49,0.123951
368,2024-Q1,cash,uzs,38,18.36,0.148385
369,2024-Q1,loan,eur,3,9.18,0.2423
370,2024-Q1,interbank,eur,93,23.27,0.169901
371,2024-Q1,security,usd,41,18.98,0.197405
372,2024-Q1,cash,usd,80,0.67,0.264227
373,2024-Q1,security,eur,50,2.8,0.272604
374,2024-Q1,security,uzs,45,5.23,0.274365
375,2024-Q1,interbank,usd,107,2.0,0.27145
376,2024-Q1,loan,eur,12,11.65,0.22922
377,2024-Q1,security,uzs,89,8.18,0.266401
378,2024-Q1,loan,usd,90,23.35,0.199033
379,2024-Q1,security,usd,46,11.35,0.234287
380,2024-Q1,loan,uzs,32,5.09,0.274207
381,2024-Q1,cash,uzs,1,23.3,0.077506
382,2024-Q1,security,eur,113,12.33,0.23475
383,2024-Q1,security,usd,114,1.75,0.316174
384,2024-Q1,security,eur,29,1.94,0.256392
385,2024-Q1,security,eur,4,16.21,0.180252
386,2024-Q1,loan,usd,15,11.88,0.224888
387,2024-Q1,interbank,usd,9,14.98,0.171626
388,2024-Q1,loan,eur,100,20.39,0.221902
389,2024-Q1,loan,uzs,108,16.35,0.237755
390,2024-Q1,interbank,eur,19,20.68,0.123674
391,2024-Q1,security,usd,90,17.82,0.218742
392,2024-Q1,interbank,eur,22,16.19,0.163246
393,2024-Q1,loan,usd,45,3.23,0.273663
394,2024-Q1,cash,uzs,72,11.59,0.192635
395,2024-Q1,interbank,usd,87,10.39,0.229157
396,2024-Q1,security,usd,105,12.98,0.237933
397,2024-Q1,cash,usd,6,9.39,0.171418
398,2024-Q1,interbank,usd,24,14.89,0.184991
399,2024-Q1,cash,usd,34,9.42,0.185476
400,2024-Q1,interbank,eur,38,13.38,0.171096
401,2024-Q1,interbank,uzs,120,9.48,0.245655
402,2024-Q1,cash,usd,94,21.64,0.157095
403,2024-Q1,cash,uzs,39,8.96,0.174688
404,2024-Q1,interbank,usd,117,17.54,0.208618
405,2024-Q1,security,uzs,60,14.73,0.21161
406,2024-Q1,loan,eur,61,9.25,0.247899
407,2024-Q1,loan,eur,53,19.38,0.216858
408,2024-Q1,security,eur,18,22.26,0.144687
409,2024-Q1,security,usd,113,18.25,0.217229
410,2024-Q1,interbank,uzs,2,22.77,0.124845
411,2024-Q1,loan,usd,21,10.47,0.241267
412,2024-Q1,cash,usd,28,21.93,0.106772
413,2024-Q1,cash,uzs,34,21.03,0.135943
414,2024-Q1,loan,usd,16,18.3,0.186335
415,2024-Q1,cash,eur,3,20.04,0.11001
416,2024-Q1,interbank,usd,82,17.52,0.194479
417,2024-Q1,loan,uzs,117,12.3,0.271657
418,2024-Q1,loan,eur,15,13.26,0.218414
419,2024-Q1,interbank,usd,36,10.02,0.200935
420,2024-Q1,cash,usd,61,15.94,0.140938
421,2024-Q1,interbank,eur,112,7.79,0.260995
422,2024-Q1,cash,uzs,84,17.75,0.148673
423,2024-Q1,security,usd,92,12.12,0.24017
424,2024-Q1,cash,eur,70,8.48,0.179889
425,2024-Q1,cash,uzs,51,3.53,0.224514
426,2024-Q1,cash,eur,24,6.13,0.18304
427,2024-Q1,loan,uzs,104,15.36,0.231469
428,2024-Q1,cash,eur,97,8.88,0.204253
429,2024-Q1,interbank,usd,4,0.8,0.220609
430,2024-Q1,security,eur,86,7.91,0.25822
431,2024-Q1,cash,uzs,11,8.79,0.177639
432,2024-Q1,interbank,uzs,89,5.62,0.249725
433,2024-Q1,security,usd,100,6.87,0.263965
434,2024-Q1,loan,usd,16,16.92,0.212003
435,2024-Q1,cash,uzs,53,17.91,0.144196
436,2024-Q1,security,usd,15,23.01,0.160019
437,2024-Q1,interbank,usd,69,2.83,0.232578
438,2024-Q1,loan,eur,112,7.48,0.298264
439,2024-Q1,security,usd,10,1.85,0.26043
440,2024-Q1,interbank,eur,48,14.72,0.175081
441,2024-Q1,security,uzs,117,0.39,0.325822
442,2024-Q1,loan,uzs,37,4.93,0.275308
443,2024-Q1,security,eur,16,14.09,0.196515
444,2024-Q1,cash,eur,59,8.61,0.203253
445,2024-Q1,cash,eur,62,13.07,0.197024
446,2024-Q1,cash,usd,80,15.37,0.167674
447,2024-Q1,security,eur,38,20.13,0.174453
448,2024-Q1,cash,usd,115,9.43,0.232734
449,2024-Q1,cash,uzs,63,6.69,0.209505
450,2024-Q1,loan,eur,35,12.93,0.243871
451,2024-Q1,security,usd,116,1.67,0.305909
452,2024-Q1,cash,uzs,111,1.01,0.266705
453,2024-Q1,loan,uzs,60,10.85,0.252485
454,2024-Q1,security,uzs,3,5.23,0.23318
455,2024-Q1,cash,eur,72,0.17,0.249979
456,2024-Q1,loan,usd,67,16.3,0.219208
457,2024-Q1,interbank,uzs,18,19.59,0.135588
458,2024-Q1,cash,usd,77,3.55,0.232449
459,2024-Q1,security,usd,101,13.53,0.236386
460,2024-Q1,loan,eur,13,23.62,0.172188
461,2024-Q1,loan,eur,87,6.45,0.285624
462,2024-Q1,cash,usd,17,17.54,0.149105
463,2024-Q1,loan,uzs,90,3.89,0.291595
464,2024-Q1,cash,usd,51,22.37,0.112412
465,2024-Q1,interbank,eur,1,0.01,0.245693
466,2024-Q1,interbank,eur,116,7.07,0.269306
467,2024-Q1,interbank,usd,20,23.43,0.116742
468,2024-Q1,security,uzs,72,16.1,0.226177
469,2024-Q1,cash,eur,22,5.08,0.209971
470,2024-Q1,cash,usd,112,18.99,0.172782
471,2024-Q1,interbank,uzs,89,21.55,0.17091
472,2024-Q1,interbank,eur,97,11.69,0.226852
473,2024-Q1,interbank,usd,52,3.74,0.239018
474,2024-Q1,loan,eur,57,6.21,0.272483
475,2024-Q1,security,uzs,77,22.63,0.171335
476,2024-Q1,security,uzs,95,3.87,0.279949
477,2024-Q1,loan,eur,102,7.49,0.298512
478,2024-Q1,security,uzs,3,3.49,0.259845
479,2024-Q1,interbank,usd,80,2.53,0.251993
480,2024-Q1,cash,uzs,14,12.53,0.14825
481,2024-Q1,interbank,uzs,35,9.52,0.220966
482,2024-Q1,cash,eur,100,1.11,0.256783
483,2024-Q1,interbank,uzs,31,3.48,0.243678
484,2024-Q1,interbank,usd,96,0.9,0.274567
485,2024-Q1,interbank,usd,56,0.59,0.284125
486,2024-Q1,loan,eur,28,4.28,0.276509
487,2024-Q1,cash,eur,41,17.85,0.150696
488,2024-Q1,interbank,eur,64,0.35,0.278067
489,2024-Q1,interbank,usd,92,7.31,0.225094
490,2024-Q1,security,eur,73,13.55,0.204857
491,2024-Q1,cash,uzs,112,17.85,0.167183
492,2024-Q1,security,eur,105,16.27,0.223865
493,2024-Q1,cash,usd,91,23.72,0.132839
494,2024-Q1,cash,uzs,73,6.62,0.227441
495,2024-Q1,loan,usd,35,0.0,0.290767
496,2024-Q1,cash,uzs,50,0.92,0.224872
497,2024-Q1,cash,eur,15,2.34,0.202948
498,2024-Q1,security,usd,45,23.41,0.170997
499,2024-Q1,interbank,uzs,112,13.68,0.226608
500,2024-Q1,cash,uzs,52,19.18,0.125391
501,2024-Q1,interbank,uzs,14,23.64,0.129465
502,2024-Q1,loan,usd,79,20.26,0.206693
503,2024-Q1,interbank,uzs,116,9.78,0.225302
504,2024-Q1,loan,uzs,105,21.02,0.219893
505,2024-Q1,security,eur,33,10.41,0.221527
506,2024-Q1,interbank,eur,55,2.74,0.259856
507,2024-Q1,interbank,eur,64,13.16,0.198412
508,2024-Q1,interbank,usd,30,21.98,0.149955
509,2024-Q1,loan,usd,33,18.83,0.21397
510,2024-Q1,interbank,usd,29,9.65,0.196535
511,2024-Q1,loan,uzs,120,20.52,0.227702
512,2024-Q1,loan,usd,90,11.14,0.277439
513,2024-Q1,security,uzs,101,16.43,0.22131
514,2024-Q1,security,eur,98,8.0,0.275862
515,2024-Q1,loan,uzs,116,4.67,0.324348
516,2024-Q1,interbank,eur,13,7.52,0.188959
517,2024-Q1,interbank,uzs,106,21.0,0.182592
518,2024-Q1,interbank,eur,8,23.75,0.1228
519,2024-Q1,security,eur,58,6.33,0.260814
520,2024-Q1,security,uzs,72,3.97,0.278699
521,2024-Q1,security,uzs,43,1.71,0.277657
522,2024-Q1,interbank,usd,18,18.09,0.173182
523,2024-Q1,interbank,usd,24,12.67,0.189284
524,2024-Q1,interbank,usd,99,13.35,0.209563
525,2024-Q1,security,uzs,39,1.08,0.27134
526,2024-Q1,interbank,usd,38,1.95,0.245607
527,2024-Q1,security,eur,111,21.95,0.210415
528,2024-Q1,interbank,eur,18,13.84,0.16428
529,2024-Q1,interbank,eur,110,5.26,0.279721
