loan_id,client_id,report_quarter,currency,outstanding_amount,days_overdue,provision_amount
98,99,Q1 2025,UZS,2.09,60,0.0
99,100,Q1 2025,UZS,2.09,0,0.0
100,101,Q1 2025,USD,2.09,30,0.0
101,2,Q1 2025,UZS,1.1,120,0.8
102,4,Q1 2025,USD,1.1,150,0.8
103,5,Q1 2025,UZS,1.1,180,0.8
104,7,Q1 2025,USD,1.1,90,0.8
105,8,Q1 2025,UZS,1.1,120,0.8
106,107,Q2 2025,UZS,2.18,30,0.0
107,108,Q2 2025,UZS,2.18,60,0.0
108,109,Q2 2025,USD,2.18,0,0.0
109,110,Q2 2025,UZS,2.18,30,0.0
110,111,Q2 2025,UZS,2.18,60,0.0
111,112,Q2 2025,UZS,2.18,0,0.0
112,113,Q2 2025,USD,2.18,30,0.0
113,114,Q2 2025,UZS,2.18,60,0.0
114,115,Q2 2025,UZS,2.18,0,0.0
115,116,Q2 2025,UZS,2.18,30,0.0
116,117,Q2 2025,USD,2.18,60,0.0
117,118,Q2 2025,UZS,2.18,0,0.0
118,119,Q2 2025,UZS,2.18,30,0.0
119,120,Q2 2025,UZS,2.18,60,0.0
120,121,Q2 2025,USD,2.18,0,0.0
121,122,Q2 2025,UZS,2.18,30,0.0
122,123,Q2 2025,UZS,2.18,60,0.0
123,124,Q2 2025,UZS,2.18,0,0.0
124,125,Q2 2025,USD,2.18,30,0.0
125,126,Q2 2025,UZS,2.18,60,0.0
126,127,Q2 2025,UZS,2.18,0,0.0
127,128,Q2 2025,UZS,2.18,30,0.0
128,129,Q2 2025,USD,2.18,60,0.0
129,130,Q2 2025,UZS,2.18,0,0.0
130,131,Q2 2025,UZS,2.18,30,0.0
131,132,Q2 2025,UZS,2.18,60,0.0
132,133,Q2 2025,USD,2.18,0,0.0
133,134,Q2 2025,UZS,2.18,30,0.0
134,135,Q2 2025,UZS,2.18,60,0.0
135,136,Q2 2025,UZS,2.18,0,0.0
136,137,Q2 2025,USD,2.18,30,0.0
137,138,Q2 2025,UZS,2.18,60,0.0
138,139,Q2 2025,UZS,2.18,0,0.0
139,140,Q2 2025,UZS,2.18,30,0.0
140,141,Q2 2025,USD,2.18,60,0.0
141,142,Q2 2025,UZS,2.18,0,0.0
142,143,Q2 2025,UZS,2.18,30,0.0
143,144,Q2 2025,UZS,2.18,60,0.0
144,145,Q2 2025,USD,2.18,0,0.0
145,146,Q2 2025,UZS,2.18,30,0.0
146,147,Q2 2025,UZS,2.18,60,0.0
147,148,Q2 2025,UZS,2.18,0,0.0
148,149,Q2 2025,USD,2.18,30,0.0
149,150,Q2 2025,UZS,2.18,60,0.0
150,1,Q2 2025,UZS,2.18,0,0.0
151,2,Q2 2025,UZS,2.18,30,0.0
152,3,Q2 2025,USD,2.18,60,0.0
153,4,Q2 2025,UZS,2.18,0,0.0
154,5,Q2 2025,UZS,2.18,30,0.0
155,6,Q2 2025,UZS,2.18,60,0.0
156,7,Q2 2025,USD,2.18,0,0.0
157,8,Q2 2025,UZS,2.18,30,0.0
158,9,Q2 2025,UZS,2.18,60,0.0
159,10,Q2 2025,UZS,1.96,0,0.0
160,91,Q2 2025,USD,1.25,90,0.83
161,92,Q2 2025,UZS,1.25,120,0.83
162,94,Q2 2025,USD,1.25,150,0.83
163,95,Q2 2025,UZS,1.25,180,0.83
164,97,Q2 2025,USD,1.25,90,0.83
165,98,Q2 2025,UZS,1.25,120,0.85
166,17,Q3 2025,UZS,2.24,30,0.0
167,18,Q3 2025,UZS,2.24,60,0.0
168,19,Q3 2025,USD,2.24,0,0.0
169,20,Q3 2025,UZS,2.24,30,0.0
170,21,Q3 2025,UZS,2.24,60,0.0
171,22,Q3 2025,UZS,2.24,0,0.0
172,23,Q3 2025,USD,2.24,30,0.0
173,24,Q3 2025,UZS,2.24,60,0.0
174,25,Q3 2025,UZS,2.24,0,0.0
175,26,Q3 2025,UZS,2.24,30,0.0
176,27,Q3 2025,USD,2.24,60,0.0
177,28,Q3 2025,UZS,2.24,0,0.0
178,29,Q3 2025,UZS,2.24,30,0.0
179,30,Q3 2025,UZS,2.24,60,0.0
180,31,Q3 2025,USD,2.24,0,0.0
181,32,Q3 2025,UZS,2.24,30,0.0
182,33,Q3 2025,UZS,2.24,60,0.0
183,34,Q3 2025,UZS,2.24,0,0.0
184,35,Q3 2025,USD,2.24,30,0.0
185,36,Q3 2025,UZS,2.24,60,0.0
186,37,Q3 2025,UZS,2.24,0,0.0
187,38,Q3 2025,UZS,2.24,30,0.0
188,39,Q3 2025,USD,2.24,60,0.0
189,40,Q3 2025,UZS,2.24,0,0.0
190,41,Q3 2025,UZS,2.24,30,0.0
191,42,Q3 2025,UZS,2.24,60,0.0
192,43,Q3 2025,USD,2.24,0,0.0
193,44,Q3 2025,UZS,2.24,30,0.0
194,45,Q3 2025,UZS,2.24,60,0.0
195,46,Q3 2025,UZS,2.24,0,0.0
196,47,Q3 2025,USD,2.24,30,0.0
197,48,Q3 2025,UZS,2.24,60,0.0
198,49,Q3 2025,UZS,2.24,0,0.0
199,50,Q3 2025,UZS,2.24,30,0.0
200,51,Q3 2025,USD,2.24,60,0.0
201,52,Q3 2025,UZS,2.24,0,0.0
202,53,Q3 2025,UZS,2.24,30,0.0
203,54,Q3 2025,UZS,2.24,60,0.0
204,55,Q3 2025,USD,2.24,0,0.0
205,56,Q3 2025,UZS,2.24,30,0.0
206,57,Q3 2025,UZS,2.24,60,0.0
207,58,Q3 2025,UZS,2.24,0,0.0
208,59,Q3 2025,USD,2.24,30,0.0
209,60,Q3 2025,UZS,2.24,60,0.0
210,61,Q3 2025,UZS,2.24,0,0.0
211,62,Q3 2025,UZS,2.24,30,0.0
212,63,Q3 2025,USD,2.24,60,0.0
213,64,Q3 2025,UZS,2.24,0,0.0
214,65,Q3 2025,UZS,2.24,30,0.0
215,66,Q3 2025,UZS,2.24,60,0.0
216,67,Q3 2025,USD,2.24,0,0.0
217,68,Q3 2025,UZS,2.24,30,0.0
218,69,Q3 2025,UZS,2.24,60,0.0
219,70,Q3 2025,UZS,2.24,0,0.0
220,71,Q3 2025,USD,2.24,30,0.0
221,72,Q3 2025,UZS,2.24,60,0.0
222,73,Q3 2025,UZS,2.24,0,0.0
223,74,Q3 2025,UZS,2.52,30,0.0
224,37,Q3 2025,USD,1.4,90,0.86
225,38,Q3 2025,UZS,1.4,120,0.86
226,40,Q3 2025,USD,1.4,150,0.86
227,41,Q3 2025,UZS,1.4,180,0.86
228,43,Q3 2025,USD,1.4,90,0.86
229,44,Q3 2025,UZS,1.4,120,0.86
230,46,Q3 2025,USD,1.4,150,0.84
231,82,Q4 2025,UZS,2.3,0,0.0
232,83,Q4 2025,USD,2.3,30,0.0
233,84,Q4 2025,UZS,2.3,60,0.0
234,85,Q4 2025,UZS,2.3,0,0.0
235,86,Q4 2025,UZS,2.3,30,0.0
236,87,Q4 2025,USD,2.3,60,0.0
237,88,Q4 2025,UZS,2.3,0,0.0
238,89,Q4 2025,UZS,2.3,30,0.0
239,90,Q4 2025,UZS,2.3,60,0.0
240,91,Q4 2025,USD,2.3,0,0.0
241,92,Q4 2025,UZS,2.3,30,0.0
242,93,Q4 2025,UZS,2.3,60,0.0
243,94,Q4 2025,UZS,2.3,0,0.0
244,95,Q4 2025,USD,2.3,30,0.0
245,96,Q4 2025,UZS,2.3,60,0.0
246,97,Q4 2025,UZS,2.3,0,0.0
247,98,Q4 2025,UZS,2.3,30,0.0
248,99,Q4 2025,USD,2.3,60,0.0
249,100,Q4 2025,UZS,2.3,0,0.0
250,101,Q4 2025,UZS,2.3,30,0.0
251,102,Q4 2025,UZS,2.3,60,0.0
252,103,Q4 2025,USD,2.3,0,0.0
253,104,Q4 2025,UZS,2.3,30,0.0
254,105,Q4 2025,UZS,2.3,60,0.0
255,106,Q4 2025,UZS,2.3,0,0.0
256,107,Q4 2025,USD,2.3,30,0.0
257,108,Q4 2025,UZS,2.3,60,0.0
258,109,Q4 2025,UZS,2.3,0,0.0
259,110,Q4 2025,UZS,2.3,30,0.0
260,111,Q4 2025,USD,2.3,60,0.0
261,112,Q4 2025,UZS,2.3,0,0.0
262,113,Q4 2025,UZS,2.3,30,0.0
263,114,Q4 2025,UZS,2.3,60,0.0
264,115,Q4 2025,USD,2.3,0,0.0
265,116,Q4 2025,UZS,2.3,30,0.0
266,117,Q4 2025,UZS,2.3,60,0.0
267,118,Q4 2025,UZS,2.3,0,0.0
268,119,Q4 2025,USD,2.3,30,0.0
269,120,Q4 2025,UZS,2.3,60,0.0
270,121,Q4 2025,UZS,2.3,0,0.0
271,122,Q4 2025,UZS,2.3,30,0.0
272,123,Q4 2025,USD,2.3,60,0.0
273,124,Q4 2025,UZS,2.3,0,0.0
274,125,Q4 2025,UZS,2.3,30,0.0
275,126,Q4 2025,UZS,2.3,60,0.0
276,127,Q4 2025,USD,2.3,0,0.0
277,128,Q4 2025,UZS,2.3,30,0.0
278,129,Q4 2025,UZS,2.3,60,0.0
279,130,Q4 2025,UZS,2.3,0,0.0
280,131,Q4 2025,USD,2.3,30,0.0
281,132,Q4 2025,UZS,2.3,60,0.0
282,133,Q4 2025,UZS,2.3,0,0.0
283,134,Q4 2025,UZS,2.3,30,0.0
284,135,Q4 2025,USD,2.3,60,0.0
285,136,Q4 2025,UZS,2.3,0,0.0
286,137,Q4 2025,UZS,2.3,30,0.0
287,138,Q4 2025,UZS,2.3,60,0.0
288,139,Q4 2025,USD,2.3,0,0.0
289,140,Q4 2025,UZS,2.3,30,0.0
290,141,Q4 2025,UZS,2.3,60,0.0
291,137,Q4 2025,UZS,1.33,180,0.78
292,139,Q4 2025,USD,1.33,90,0.78
293,140,Q4 2025,UZS,1.33,120,0.78
294,142,Q4 2025,USD,1.33,150,0.78
295,143,Q4 2025,UZS,1.33,180,0.78
296,145,Q4 2025,USD,1.33,90,0.78
297,146,Q4 2025,UZS,1.33,120,0.78
298,148,Q4 2025,USD,1.33,150,0.78
299,149,Q4 2025,UZS,1.36,180,0.76
300,1,Q1 2026,USD,2.27,0,0.0
301,2,Q1 2026,UZS,2.27,30,0.0
302,3,Q1 2026,UZS,2.27,60,0.0
303,4,Q1 2026,UZS,2.27,0,0.0
304,5,Q1 2026,USD,2.27,30,0.0
305,6,Q1 2026,UZS,2.27,60,0.0
306,7,Q1 2026,UZS,2.27,0,0.0
307,8,Q1 2026,UZS,2.27,30,0.0
308,9,Q1 2026,USD,2.27,60,0.0
309,10,Q1 2026,UZS,2.27,0,0.0
310,11,Q1 2026,UZS,2.27,30,0.0
311,12,Q1 2026,UZS,2.27,60,0.0
312,13,Q1 2026,USD,2.27,0,0.0
313,14,Q1 2026,UZS,2.27,30,0.0
314,15,Q1 2026,UZS,2.27,60,0.0
315,16,Q1 2026,UZS,2.27,0,0.0
316,17,Q1 2026,USD,2.27,30,0.0
317,18,Q1 2026,UZS,2.27,60,0.0
318,19,Q1 2026,UZS,2.27,0,0.0
319,20,Q1 2026,UZS,2.27,30,0.0
320,21,Q1 2026,USD,2.27,60,0.0
321,22,Q1 2026,UZS,2.27,0,0.0
322,23,Q1 2026,UZS,2.27,30,0.0
323,24,Q1 2026,UZS,2.27,60,0.0
324,25,Q1 2026,USD,2.27,0,0.0
325,26,Q1 2026,UZS,2.27,30,0.0
326,27,Q1 2026,UZS,2.27,60,0.0
327,28,Q1 2026,UZS,2.27,0,0.0
328,29,Q1 2026,USD,2.27,30,0.0
329,30,Q1 2026,UZS,2.27,60,0.0
330,31,Q1 2026,UZS,2.27,0,0.0
331,32,Q1 2026,UZS,2.27,30,0.0
332,33,Q1 2026,USD,2.27,60,0.0
333,34,Q1 2026,UZS,2.27,0,0.0
334,35,Q1 2026,UZS,2.27,30,0.0
335,36,Q1 2026,UZS,2.27,60,0.0
336,37,Q1 2026,USD,2.27,0,0.0
337,38,Q1 2026,UZS,2.27,30,0.0
338,39,Q1 2026,UZS,2.27,60,0.0
339,40,Q1 2026,UZS,2.27,0,0.0
340,41,Q1 2026,USD,2.27,30,0.0
341,42,Q1 2026,UZS,2.27,60,0.0
342,43,Q1 2026,UZS,2.27,0,0.0
343,44,Q1 2026,UZS,2.27,30,0.0
344,45,Q1 2026,USD,2.27,60,0.0
345,46,Q1 2026,UZS,2.27,0,0.0
346,47,Q1 2026,UZS,2.27,30,0.0
347,48,Q1 2026,UZS,2.27,60,0.0
348,49,Q1 2026,USD,2.27,0,0.0
349,50,Q1 2026,UZS,2.27,30,0.0
350,51,Q1 2026,UZS,2.27,60,0.0
351,52,Q1 2026,UZS,2.27,0,0.0
352,53,Q1 2026,USD,2.27,30,0.0
353,54,Q1 2026,UZS,2.27,60,0.0
354,55,Q1 2026,UZS,2.27,0,0.0
355,56,Q1 2026,UZS,2.27,30,0.0
356,57,Q1 2026,USD,2.27,60,0.0
357,58,Q1 2026,UZS,2.27,0,0.0
358,59,Q1 2026,UZS,2.27,30,0.0
359,60,Q1 2026,UZS,2.27,60,0.0
360,61,Q1 2026,USD,2.27,0,0.0
361,62,Q1 2026,UZS,2.27,30,0.0
362,63,Q1 2026,UZS,2.27,60,0.0
363,64,Q1 2026,UZS,2.59,0,0.0
364,97,Q1 2026,USD,1.31,90,0.73
365,98,Q1 2026,UZS,1.31,120,0.73
366,100,Q1 2026,USD,1.31,150,0.73
367,101,Q1 2026,UZS,1.31,180,0.73
368,103,Q1 2026,USD,1.31,90,0.73
369,104,Q1 2026,UZS,1.31,120,0.73
370,106,Q1 2026,USD,1.31,150,0.73
371,107,Q1 2026,UZS,1.31,180,0.73
372,109,Q1 2026,USD,1.31,90,0.73
373,110,Q1 2026,UZS,1.31,120,0.73
374,112,Q1 2026,USD,1.3,150,0.7
